transaction amount,mcc_780.0,mcc_1520.0,mcc_1711.0,mcc_1731.0,mcc_1740.0,mcc_1750.0,mcc_1761.0,mcc_1771.0,mcc_1799.0,mcc_2741.0,mcc_2791.0,mcc_2842.0,mcc_3501.0,mcc_3503.0,mcc_3504.0,mcc_3509.0,mcc_3513.0,mcc_3516.0,mcc_3530.0,mcc_3608.0,mcc_3665.0,mcc_3690.0,mcc_3693.0,mcc_3695.0,mcc_3703.0,mcc_3727.0,mcc_3770.0,mcc_3778.0,mcc_3826.0,mcc_4111.0,mcc_4121.0,mcc_4214.0,mcc_4215.0,mcc_4225.0,mcc_4468.0,mcc_4722.0,mcc_4784.0,mcc_4789.0,mcc_4812.0,mcc_4814.0,mcc_4816.0,mcc_4899.0,mcc_4900.0,mcc_5013.0,mcc_5021.0,mcc_5039.0,mcc_5044.0,mcc_5045.0,mcc_5046.0,mcc_5047.0,mcc_5051.0,mcc_5065.0,mcc_5072.0,mcc_5074.0,mcc_5085.0,mcc_5099.0,mcc_5111.0,mcc_5131.0,mcc_5137.0,mcc_5169.0,mcc_5172.0,mcc_5192.0,mcc_5193.0,mcc_5198.0,mcc_5199.0,mcc_5200.0,mcc_5211.0,mcc_5231.0,mcc_5251.0,mcc_5261.0,mcc_5310.0,mcc_5311.0,mcc_5331.0,mcc_5399.0,mcc_5411.0,mcc_5499.0,mcc_5511.0,mcc_5521.0,mcc_5533.0,mcc_5541.0,mcc_5561.0,mcc_5599.0,mcc_5651.0,mcc_5661.0,mcc_5691.0,mcc_5697.0,mcc_5699.0,mcc_5712.0,mcc_5713.0,mcc_5714.0,mcc_5718.0,mcc_5719.0,mcc_5722.0,mcc_5732.0,mcc_5733.0,mcc_5734.0,mcc_5735.0,mcc_5811.0,mcc_5812.0,mcc_5814.0,mcc_5817.0,mcc_5818.0,mcc_5931.0,mcc_5932.0,mcc_5935.0,mcc_5941.0,mcc_5942.0,mcc_5943.0,mcc_5944.0,mcc_5945.0,mcc_5946.0,mcc_5947.0,mcc_5949.0,mcc_5964.0,mcc_5965.0,mcc_5968.0,mcc_5969.0,mcc_5970.0,mcc_5971.0,mcc_5975.0,mcc_5983.0,mcc_5992.0,mcc_5994.0,mcc_5996.0,mcc_5998.0,mcc_5999.0,mcc_6012.0,mcc_6300.0,mcc_6513.0,mcc_7011.0,mcc_7210.0,mcc_7216.0,mcc_7217.0,mcc_7298.0,mcc_7299.0,mcc_7311.0,mcc_7321.0,mcc_7333.0,mcc_7338.0,mcc_7342.0,mcc_7349.0,mcc_7361.0,mcc_7372.0,mcc_7375.0,mcc_7379.0,mcc_7392.0,mcc_7393.0,mcc_7394.0,mcc_7395.0,mcc_7399.0,mcc_7513.0,mcc_7523.0,mcc_7531.0,mcc_7538.0,mcc_7542.0,mcc_7549.0,mcc_7622.0,mcc_7623.0,mcc_7629.0,mcc_7641.0,mcc_7692.0,mcc_7699.0,mcc_7829.0,mcc_7929.0,mcc_7991.0,mcc_7997.0,mcc_7999.0,mcc_8011.0,mcc_8043.0,mcc_8049.0,mcc_8050.0,mcc_8062.0,mcc_8099.0,mcc_8111.0,mcc_8220.0,mcc_8244.0,mcc_8249.0,mcc_8299.0,mcc_8398.0,mcc_8641.0,mcc_8675.0,mcc_8699.0,mcc_8734.0,mcc_8911.0,mcc_8931.0,mcc_8999.0,mcc_9311.0,mcc_9399.0,mcc_9402.0,merchant state_AE,merchant state_AK,merchant state_AL,merchant state_AP,merchant state_AR,merchant state_AUS,merchant state_AZ,merchant state_B,merchant state_BC,merchant state_BE,merchant state_BEL,merchant state_C,merchant state_CA,merchant state_CHE,merchant state_CO,merchant state_CT,merchant state_CYP,merchant state_DC,merchant state_DE,merchant state_DEU,merchant state_ESP,merchant state_FL,merchant state_GA,merchant state_GBR,merchant state_GIB,merchant state_GUM,merchant state_HI,merchant state_HRT,merchant state_IA,merchant state_ID,merchant state_IL,merchant state_IN,merchant state_IND,merchant state_JPN,merchant state_KS,merchant state_KY,merchant state_LA,merchant state_LND,merchant state_LUX,merchant state_LVA,merchant state_MA,merchant state_MD,merchant state_ME,merchant state_MI,merchant state_MN,merchant state_MO,merchant state_MS,merchant state_MT,merchant state_NC,merchant state_ND,merchant state_NE,merchant state_NH,merchant state_NJ,merchant state_NLD,merchant state_NM,merchant state_NV,merchant state_NY,merchant state_OH,merchant state_OK,merchant state_ON,merchant state_OR,merchant state_PA,merchant state_PR,merchant state_PRI,merchant state_QC,merchant state_RI,merchant state_SC,merchant state_SD,merchant state_SWE,merchant state_TN,merchant state_TX,merchant state_UT,merchant state_VA,merchant state_VI,merchant state_VIR,merchant state_VT,merchant state_WA,merchant state_WI,merchant state_WV,merchant state_WY,transaction type_Purchase,transaction db-cr indicator_Debit,kmeans_score,iso_score,kmeans_score_norm,iso_score_norm,ensemble_score,is_anomaly,recon_error,is_anomaly_lstm,lstm_score_norm
1900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,7.585285909105306,-0.024862827637903262,0.04503051915623849,0.3731602585424568,1.0,1,27.42733970563276,1,1.0
-36.56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.790623523537267,0.020440953260117745,0.08186888987370625,1.0,1.0,1,0.3339266263758051,0,0.011952197121081889
2782.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,168.44766729842257,-0.04981212281150105,1.0,0.02795265277176208,1.0,1,5.7891351779532165,1,0.21089379255111654
93.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,168.44072241386246,-0.04981212281150105,0.9999587712630783,0.02795265277176208,0.9999587712630783,1,0.21873826859482956,0,0.007751485919071714
-4234.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,167.70743660195393,-0.023333804620033205,0.9956055746669543,0.39431638225234716,0.9956055746669543,1,18.739911381176498,1,0.6831851917830613
-193.59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,167.65671372589014,-0.024059349902500415,0.9953044551746082,0.38427747140953594,0.9953044551746082,1,8.331522785198905,1,0.30361007314881316
-2000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.367619894271577,0.019948218612266422,0.12685019767247127,0.9931823425519041,0.9931823425519041,1,3.8370064266947486,1,0.13970318552145422
-1702.48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.34293173508533,0.019948218612266422,0.12670363488782604,0.9931823425519041,0.9931823425519041,1,1.5144623662656798,0,0.055004201702640435
659.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,166.78339500085406,-0.04455070957541818,0.9901199445248471,0.10075149753113069,0.9901199445248471,1,0.5988358842438174,0,0.02161295892444316
6959.29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,165.91490683253846,-0.0394953695431694,0.9849641107739588,0.1706990378021728,0.9849641107739588,1,5.932381045070122,1,0.21611771040385486
